User_ID,Signup_Date,Age,Gender,State,Acquisition_Channel,Device_Type,App_Version,Current_Onboarding_Step,Completed_Onboarding,Days_to_Complete,First_Deposit,First_Transaction,Transaction_Amount,Support_Ticket,Ticket_Category,CSAT
PF00025,2025-03-29,31,Female,Ogun,Facebook,iPhone,4.2.1,Complete KYC,No,1,No,No,0,Yes,BVN,3
PF00026,2025-02-11,46,Female,Lagos,Instagram,iPhone,4.1.0,Complete KYC,No,10,No,No,0,No,None,4
PF00027,2025-02-02,20,Female,Kano,Organic,iPhone,4.2.0,Active,Yes,2,Yes,Yes,147770,No,None,4
PF00028,2025-06-08,27,Male,Rivers,Organic,iPhone,4.1.0,Active,Yes,3,Yes,Yes,66055,No,None,5
PF00029,2025-01-28,42,Male,Ogun,Facebook,iPhone,4.2.1,Active,Yes,7,Yes,Yes,51627,No,None,4
PF00030,2025-01-18,35,Female,Enugu,Referral,iPhone,4.2.1,Active,Yes,3,Yes,No,0,No,None,3
PF00031,2025-06-02,45,Female,Kano,Google,iPhone,4.2.1,Verify Email,No,5,No,No,0,Yes,Transfer,1
PF00032,2025-05-14,52,Male,Kano,Google,iPhone,4.3.0,Active,Yes,7,Yes,No,0,No,None,5
PF00033,2025-04-15,38,Female,Kaduna,Referral,Android,4.3.0,First Deposit,No,3,No,No,0,No,None,3
PF00034,2025-04-14,53,Male,Kaduna,Facebook,Android,4.3.0,Active,Yes,3,Yes,Yes,57020,No,None,5
PF00035,2025-02-13,23,Female,Kano,Instagram,iPhone,4.2.1,Active,Yes,7,Yes,Yes,65184,No,None,5
PF00036,2025-01-19,47,Female,Oyo,TikTok,Android,4.2.0,Active,Yes,6,Yes,No,0,No,None,3
PF00037,2025-04-19,32,Male,Ogun,Instagram,Android,4.1.0,Active,Yes,7,Yes,Yes,147518,No,None,4
PF00038,2025-06-06,50,Female,Ogun,Organic,iPhone,4.2.1,Active,Yes,2,Yes,Yes,137655,No,None,3
PF00039,2025-03-12,46,Male,Kaduna,Facebook,Android,4.3.0,Active,Yes,2,Yes,Yes,57086,Yes,Transfer,4
PF00040,2025-05-19,47,Female,Lagos,Facebook,Android,4.3.0,Verify Phone,No,10,No,No,0,No,None,1
PF00041,2025-04-01,37,Female,Enugu,Google,iPhone,4.1.0,Active,Yes,3,Yes,Yes,89114,No,None,4
PF00042,2025-02-12,47,Male,Lagos,Organic,Android,4.3.0,Active,Yes,6,Yes,No,0,Yes,Login,4
PF00043,2025-03-25,31,Female,Kano,Facebook,iPhone,4.2.1,Add BVN,No,5,No,No,0,No,None,4
PF00044,2025-01-05,52,Male,Kano,Facebook,Android,4.3.0,Active,Yes,1,No,No,0,Yes,KYC,5
PF00045,2025-02-09,33,Male,Ogun,Referral,Android,4.1.0,Active,Yes,3,Yes,Yes,31024,No,None,3
PF00046,2025-03-21,24,Male,Kaduna,Referral,iPhone,4.2.1,Verify Email,No,2,No,No,0,No,None,2
PF00047,2025-01-27,37,Male,Lagos,Facebook,Android,4.2.0,Active,Yes,6,Yes,Yes,129503,Yes,Login,5
PF00048,2025-04-28,27,Female,Rivers,TikTok,iPhone,4.2.1,Link Bank,No,8,No,No,0,No,None,3
PF00049,2025-03-24,33,Male,Kaduna,Organic,Android,4.2.0,Active,Yes,6,Yes,Yes,86200,Yes,BVN,4
PF00050,2025-03-08,39,Female,Kaduna,Referral,Android,4.1.0,Active,Yes,6,Yes,Yes,63999,No,None,5
PF00051,2025-05-06,46,Male,Abuja,Facebook,Android,4.1.0,Active,Yes,5,Yes,Yes,91113,No,None,5
PF00052,2025-05-21,39,Female,Ogun,Facebook,Android,4.1.0,Complete KYC,No,2,No,No,0,No,None,2
PF00053,2025-02-19,31,Female,Kaduna,TikTok,iPhone,4.2.1,Active,Yes,1,Yes,Yes,95602,Yes,KYC,5
PF00054,2025-05-17,26,Female,Lagos,Organic,Android,4.3.0,First Deposit,No,8,No,No,0,Yes,KYC,3
PF00055,2025-05-01,48,Female,Kano,Instagram,Android,4.2.0,Active,Yes,1,Yes,Yes,15053,Yes,Card,4
PF00056,2025-01-22,33,Male,Enugu,Referral,iPhone,4.2.1,Add BVN,No,8,No,No,0,No,None,4
PF00057,2025-03-20,54,Male,Abuja,Organic,Android,4.1.0,Active,Yes,1,Yes,Yes,20677,Yes,Transfer,4
PF00058,2025-06-26,48,Female,Lagos,Facebook,iPhone,4.2.0,Active,Yes,2,No,No,0,No,None,5
PF00059,2025-05-31,30,Female,Abuja,Google,Android,4.2.0,Verify Phone,No,1,No,No,0,Yes,Login,3
PF00060,2025-04-23,25,Female,Kaduna,Referral,iPhone,4.2.1,Active,Yes,1,Yes,No,0,No,None,5
PF00061,2025-03-06,19,Male,Oyo,Organic,iPhone,4.2.1,First Deposit,No,5,No,No,0,No,None,2
PF00062,2025-05-01,51,Female,Kaduna,Instagram,Android,4.3.0,Verify Phone,No,8,No,No,0,No,None,3
PF00063,2025-03-24,24,Male,Kano,Google,Android,4.3.0,Link Bank,No,1,No,No,0,No,None,3
PF00064,2025-03-06,38,Male,Enugu,Organic,iPhone,4.2.1,Add BVN,No,7,No,No,0,Yes,Card,3
PF00065,2025-06-09,49,Female,Lagos,Facebook,Android,4.2.0,Active,Yes,6,Yes,Yes,63730,No,None,4
PF00066,2025-05-22,18,Female,Abuja,Facebook,iPhone,4.2.1,First Deposit,No,3,No,No,0,No,None,3
PF00067,2025-05-11,35,Female,Ogun,Organic,Android,4.3.0,Active,Yes,2,No,No,0,No,None,3
PF00068,2025-01-18,35,Female,Kano,Organic,Android,4.1.0,Active,Yes,3,Yes,Yes,129356,No,None,4
PF00069,2025-05-18,48,Female,Kano,Referral,Android,4.2.0,Verify Email,No,4,No,No,0,No,None,2
PF00070,2025-04-16,20,Female,Ogun,TikTok,iPhone,4.2.1,First Deposit,No,3,No,No,0,No,None,1
PF00071,2025-02-02,50,Female,Abuja,Organic,Android,4.3.0,Verify Phone,No,3,No,No,0,No,None,2
PF00072,2025-01-20,48,Female,Kano,Referral,Android,4.1.0,First Deposit,No,9,No,No,0,No,None,3
PF00073,2025-06-10,49,Male,Abuja,Facebook,iPhone,4.2.1,Active,Yes,1,Yes,Yes,27347,No,None,5
PF00074,2025-03-18,19,Male,Kano,TikTok,Android,4.2.0,Active,Yes,2,Yes,Yes,48200,Yes,KYC,5
PF00075,2025-04-08,33,Female,Rivers,Facebook,Android,4.2.0,Active,Yes,1,Yes,Yes,76400,No,None,3
PF00076,2025-01-19,46,Female,Kaduna,Referral,Android,4.2.0,Active,Yes,3,Yes,Yes,127670,Yes,Transfer,5
PF00077,2025-04-02,54,Female,Kaduna,Instagram,iPhone,4.2.1,Active,Yes,7,Yes,Yes,13856,No,None,5
PF00078,2025-05-08,36,Male,Kano,Facebook,Android,4.2.0,Active,Yes,6,Yes,Yes,36855,No,None,5
PF00079,2025-06-15,20,Female,Ogun,Instagram,Android,4.1.0,Active,Yes,3,Yes,Yes,53637,Yes,Card,4
PF00080,2025-05-16,50,Female,Rivers,Facebook,iPhone,4.2.1,First Deposit,No,6,No,No,0,No,None,4
PF00081,2025-01-20,27,Male,Enugu,Organic,iPhone,4.2.1,Verify Phone,No,5,No,No,0,No,None,4
PF00082,2025-04-05,34,Female,Kano,Instagram,Android,4.1.0,Link Bank,No,6,No,No,0,No,None,2
PF00083,2025-06-15,22,Female,Kaduna,Referral,Android,4.1.0,Complete KYC,No,8,No,No,0,Yes,BVN,2
PF00084,2025-04-10,47,Female,Enugu,Referral,iPhone,4.3.0,Active,Yes,4,Yes,No,0,No,None,5
PF00085,2025-04-05,31,Female,Ogun,Organic,iPhone,4.2.1,Link Bank,No,6,No,No,0,Yes,Login,2
PF00086,2025-02-01,47,Male,Oyo,Referral,Android,4.1.0,Active,Yes,3,Yes,Yes,149000,Yes,Card,3
PF00087,2025-05-31,31,Male,Kano,TikTok,iPhone,4.2.1,Active,Yes,2,No,No,0,No,None,3
PF00088,2025-01-29,19,Male,Lagos,Google,iPhone,4.2.1,Active,Yes,3,Yes,Yes,138910,Yes,KYC,4
PF00089,2025-04-25,41,Male,Ogun,Google,iPhone,4.2.1,First Deposit,No,9,No,No,0,No,None,1
PF00090,2025-01-16,48,Female,Enugu,Referral,Android,4.2.0,Active,Yes,1,Yes,Yes,34080,No,None,5
PF00091,2025-05-30,53,Female,Enugu,Organic,Android,4.2.0,Active,Yes,4,Yes,Yes,145529,No,None,3
PF00092,2025-04-21,46,Male,Enugu,Facebook,Android,4.2.0,Complete KYC,No,7,No,No,0,No,None,3
PF00093,2025-04-06,27,Female,Abuja,Instagram,Android,4.2.0,Active,Yes,6,Yes,Yes,16723,No,None,5
PF00094,2025-05-24,39,Male,Enugu,Google,iPhone,4.3.0,Active,Yes,3,Yes,Yes,134015,Yes,Transfer,3
PF00095,2025-01-28,40,Female,Abuja,TikTok,Android,4.2.0,Link Bank,No,10,No,No,0,No,None,1
PF00096,2025-06-05,35,Male,Rivers,Facebook,iPhone,4.2.0,Active,Yes,7,Yes,Yes,19241,Yes,KYC,3
PF00097,2025-05-16,31,Female,Enugu,Google,Android,4.2.0,Link Bank,No,10,No,No,0,Yes,KYC,2
PF00098,2025-02-10,21,Male,Kaduna,Google,Android,4.3.0,Active,Yes,3,Yes,Yes,91484,No,None,4
PF00099,2025-06-23,55,Female,Kaduna,Instagram,Android,4.3.0,Active,Yes,2,Yes,Yes,36975,No,None,4
PF00100,2025-03-25,25,Male,Ogun,TikTok,Android,4.2.0,Active,Yes,2,Yes,Yes,93842,Yes,KYC,4
PF00101,2025-01-05,47,Male,Kano,Referral,Android,4.3.0,Active,Yes,3,Yes,Yes,86136,Yes,Card,4
PF00102,2025-06-26,41,Male,Enugu,TikTok,Android,4.3.0,Active,Yes,1,Yes,Yes,90001,Yes,BVN,3
PF00103,2025-05-11,25,Male,Kano,Google,iPhone,4.1.0,Active,Yes,2,Yes,Yes,41073,No,None,5
PF00104,2025-01-20,29,Female,Ogun,TikTok,iPhone,4.2.1,Link Bank,No,10,No,No,0,No,None,3
PF00105,2025-02-08,46,Male,Ogun,Google,Android,4.2.0,Active,Yes,3,Yes,Yes,119466,Yes,Login,4
PF00106,2025-01-20,23,Female,Ogun,Referral,iPhone,4.1.0,Active,Yes,7,Yes,Yes,125683,No,None,3
PF00107,2025-04-26,24,Female,Abuja,Google,Android,4.1.0,Active,Yes,4,Yes,Yes,96393,No,None,4
PF00108,2025-04-10,44,Female,Lagos,TikTok,Android,4.1.0,Active,Yes,5,Yes,Yes,40419,No,None,5
PF00109,2025-06-19,27,Female,Kaduna,Organic,iPhone,4.2.1,Verify Phone,No,5,No,No,0,No,None,3
PF00110,2025-02-02,51,Male,Enugu,Google,Android,4.2.0,Active,Yes,2,Yes,Yes,51333,Yes,BVN,3
PF00111,2025-01-20,36,Male,Lagos,Referral,iPhone,4.3.0,Active,Yes,2,Yes,Yes,44395,No,None,3
PF00112,2025-04-16,41,Male,Ogun,Referral,iPhone,4.1.0,Active,Yes,3,No,No,0,No,None,3
PF00113,2025-04-05,54,Female,Ogun,TikTok,iPhone,4.2.1,Active,Yes,2,Yes,Yes,37280,No,None,3
PF00114,2025-06-14,48,Female,Abuja,TikTok,Android,4.1.0,Active,Yes,7,Yes,Yes,135572,Yes,Transfer,3
PF00115,2025-02-26,46,Female,Lagos,Google,Android,4.2.0,Active,Yes,1,Yes,Yes,26974,No,None,5
PF00116,2025-03-27,27,Male,Lagos,Facebook,iPhone,4.1.0,Add BVN,No,8,No,No,0,No,None,1
PF00117,2025-01-05,34,Male,Rivers,Google,iPhone,4.2.1,Active,Yes,3,Yes,Yes,63505,No,None,5
PF00118,2025-04-28,22,Male,Ogun,Referral,Android,4.3.0,Active,Yes,6,Yes,Yes,93488,Yes,Transfer,3
PF00119,2025-06-20,23,Female,Abuja,Organic,Android,4.3.0,Active,Yes,4,Yes,Yes,102418,No,None,4
PF00120,2025-01-05,40,Male,Kano,Facebook,iPhone,4.2.1,Complete KYC,No,3,No,No,0,Yes,Card,3
PF00121,2025-06-14,29,Female,Ogun,Referral,iPhone,4.2.1,Add BVN,No,1,No,No,0,No,None,1
PF00122,2025-02-21,20,Female,Kaduna,Google,iPhone,4.2.1,Active,Yes,7,Yes,Yes,13531,No,None,4
PF00123,2025-03-11,25,Female,Enugu,Organic,iPhone,4.2.0,Active,Yes,2,Yes,Yes,137125,No,None,3
PF00124,2025-04-19,23,Female,Rivers,Google,Android,4.1.0,Active,Yes,3,Yes,Yes,112703,Yes,Transfer,4
PF00125,2025-04-25,20,Female,Enugu,Facebook,iPhone,4.1.0,Add BVN,No,6,No,No,0,No,None,2
PF00126,2025-01-08,27,Female,Lagos,Instagram,Android,4.3.0,Active,Yes,4,No,No,0,Yes,BVN,5
PF00127,2025-04-26,41,Female,Ogun,TikTok,Android,4.3.0,Active,Yes,3,Yes,Yes,30739,Yes,BVN,4
PF00128,2025-05-13,42,Male,Kaduna,TikTok,iPhone,4.2.1,First Deposit,No,8,No,No,0,Yes,BVN,1
PF00129,2025-04-26,29,Female,Abuja,TikTok,iPhone,4.3.0,Active,Yes,1,Yes,Yes,79631,No,None,5
PF00130,2025-06-29,29,Female,Oyo,Instagram,Android,4.1.0,Active,Yes,4,Yes,Yes,97707,No,None,5
PF00131,2025-02-03,23,Male,Kaduna,Google,iPhone,4.2.1,Active,Yes,4,Yes,Yes,84106,No,None,4
PF00132,2025-04-30,51,Female,Rivers,Organic,iPhone,4.1.0,Verify Email,No,7,No,No,0,No,None,1
PF00133,2025-02-01,51,Male,Kaduna,Instagram,Android,4.3.0,Active,Yes,5,Yes,Yes,66694,Yes,Card,4
PF00134,2025-02-02,37,Male,Rivers,Referral,Android,4.1.0,Active,Yes,6,No,No,0,No,None,5
PF00135,2025-01-11,19,Male,Lagos,Organic,iPhone,4.2.1,Active,Yes,5,Yes,Yes,131557,No,None,5
PF00136,2025-03-16,37,Female,Oyo,TikTok,iPhone,4.2.1,Active,Yes,1,Yes,Yes,122750,Yes,Card,3
PF00137,2025-03-22,38,Female,Enugu,Instagram,Android,4.3.0,Active,Yes,2,Yes,Yes,65990,Yes,KYC,4
PF00138,2025-04-09,44,Male,Rivers,TikTok,iPhone,4.1.0,Add BVN,No,9,No,No,0,No,None,3
PF00139,2025-05-08,19,Male,Enugu,Google,iPhone,4.2.1,Active,Yes,1,Yes,Yes,124361,No,None,3
PF00140,2025-01-28,45,Male,Kaduna,TikTok,iPhone,4.2.1,Active,Yes,5,Yes,Yes,76655,Yes,Card,4
PF00141,2025-05-21,35,Male,Rivers,Organic,Android,4.2.0,Active,Yes,3,Yes,Yes,134463,No,None,3
PF00142,2025-01-12,20,Male,Kano,TikTok,Android,4.1.0,Active,Yes,5,Yes,No,0,No,None,4
PF00143,2025-06-07,37,Female,Ogun,TikTok,Android,4.1.0,Active,Yes,6,Yes,Yes,81655,No,None,5
PF00144,2025-06-26,19,Female,Kaduna,Organic,iPhone,4.3.0,Active,Yes,1,Yes,Yes,100664,Yes,BVN,3
PF00145,2025-05-27,25,Male,Lagos,Google,Android,4.2.0,Active,Yes,4,Yes,Yes,124628,No,None,5
PF00146,2025-01-16,26,Male,Kano,Organic,Android,4.2.0,Active,Yes,2,Yes,Yes,144202,No,None,5
PF00147,2025-06-24,34,Female,Oyo,Organic,Android,4.2.0,Active,Yes,3,Yes,Yes,129189,No,None,4
PF00148,2025-05-24,35,Female,Abuja,Referral,Android,4.2.0,Verify Email,No,5,No,No,0,Yes,KYC,3
PF00149,2025-04-24,34,Female,Oyo,Facebook,Android,4.3.0,Active,Yes,2,Yes,Yes,63726,Yes,Card,3
PF00150,2025-06-13,32,Male,Abuja,Google,iPhone,4.2.1,Verify Phone,No,9,No,No,0,No,None,2
PF00151,2025-04-15,48,Female,Oyo,TikTok,Android,4.2.0,Active,Yes,7,Yes,Yes,141286,No,None,3
PF00152,2025-02-14,44,Male,Lagos,Organic,Android,4.2.0,Active,Yes,6,No,No,0,No,None,3
PF00153,2025-01-03,37,Male,Kano,Facebook,iPhone,4.2.1,Active,Yes,2,Yes,Yes,51544,No,None,4
PF00154,2025-02-11,47,Female,Rivers,Instagram,Android,4.2.0,Verify Email,No,3,No,No,0,No,None,4
PF00155,2025-04-20,50,Female,Abuja,Google,Android,4.1.0,Active,Yes,2,Yes,Yes,118109,No,None,4
PF00156,2025-03-19,55,Male,Kaduna,Referral,iPhone,4.2.1,Active,Yes,3,Yes,Yes,82521,No,None,5
PF00157,2025-03-17,41,Male,Oyo,Organic,Android,4.2.0,Link Bank,No,6,No,No,0,No,None,4
PF00158,2025-05-18,31,Male,Abuja,Google,Android,4.2.0,Active,Yes,5,Yes,Yes,133510,Yes,Card,3
PF00159,2025-02-12,38,Female,Abuja,Referral,iPhone,4.2.1,Add BVN,No,1,No,No,0,No,None,4
PF00160,2025-04-27,54,Male,Ogun,Referral,Android,4.1.0,Active,Yes,7,Yes,Yes,20144,Yes,Login,5
PF00161,2025-01-17,52,Male,Abuja,Organic,Android,4.2.0,Active,Yes,7,Yes,Yes,111195,No,None,4
PF00162,2025-04-25,42,Female,Abuja,Referral,iPhone,4.2.1,Complete KYC,No,2,No,No,0,Yes,Card,4
PF00163,2025-05-16,26,Male,Lagos,TikTok,iPhone,4.2.1,Add BVN,No,9,No,No,0,No,None,2
PF00164,2025-03-05,47,Female,Rivers,Facebook,iPhone,4.1.0,Active,Yes,6,Yes,Yes,5101,Yes,KYC,3
PF00165,2025-06-02,20,Female,Lagos,Facebook,Android,4.2.0,Active,Yes,2,Yes,Yes,37735,No,None,4
PF00166,2025-03-01,54,Female,Kano,Facebook,iPhone,4.3.0,Active,Yes,3,Yes,Yes,46910,No,None,4
PF00167,2025-05-23,49,Male,Kano,Organic,iPhone,4.2.0,Active,Yes,4,Yes,Yes,142014,No,None,3
PF00168,2025-03-18,27,Female,Lagos,Referral,iPhone,4.2.1,Active,Yes,2,Yes,Yes,21727,No,None,4
PF00169,2025-01-24,52,Male,Lagos,Facebook,iPhone,4.1.0,Active,Yes,7,Yes,Yes,57889,No,None,4
PF00170,2025-03-19,18,Male,Oyo,Organic,Android,4.2.0,First Deposit,No,10,No,No,0,No,None,4
PF00171,2025-03-03,53,Female,Kaduna,Google,Android,4.2.0,Active,Yes,3,Yes,Yes,26849,No,None,5
PF00172,2025-05-01,38,Male,Kano,Facebook,Android,4.1.0,Verify Phone,No,5,No,No,0,No,None,4
PF00173,2025-03-17,27,Male,Kano,Facebook,Android,4.1.0,Active,Yes,6,No,No,0,No,None,4
PF00174,2025-06-14,49,Female,Rivers,TikTok,Android,4.1.0,Add BVN,No,3,No,No,0,No,None,1
PF00175,2025-05-15,20,Male,Lagos,TikTok,Android,4.3.0,Active,Yes,6,Yes,Yes,120540,No,None,5
PF00176,2025-06-13,48,Female,Lagos,Instagram,Android,4.1.0,Active,Yes,6,Yes,No,0,Yes,Transfer,3
PF00177,2025-01-28,24,Male,Oyo,Instagram,Android,4.2.0,Active,Yes,4,Yes,No,0,No,None,3
PF00178,2025-06-28,32,Female,Abuja,Referral,iPhone,4.1.0,Active,Yes,4,Yes,Yes,3477,No,None,3
PF00179,2025-05-08,45,Female,Abuja,Organic,iPhone,4.2.1,First Deposit,No,10,No,No,0,No,None,1
PF00180,2025-01-20,35,Male,Rivers,Organic,Android,4.1.0,Active,Yes,7,Yes,Yes,21168,No,None,5
PF00181,2025-03-03,54,Female,Kano,Google,iPhone,4.3.0,Link Bank,No,6,No,No,0,Yes,Transfer,2
PF00182,2025-01-20,39,Female,Kano,Instagram,Android,4.2.0,Active,Yes,3,Yes,Yes,49690,No,None,5
PF00183,2025-04-08,23,Female,Oyo,TikTok,Android,4.1.0,Active,Yes,7,Yes,Yes,84015,No,None,3
PF00184,2025-01-02,37,Female,Kano,TikTok,Android,4.1.0,Active,Yes,4,Yes,Yes,28077,Yes,Login,5
PF00185,2025-01-24,38,Female,Lagos,Facebook,Android,4.1.0,Link Bank,No,4,No,No,0,No,None,2
PF00186,2025-06-25,42,Male,Rivers,Facebook,Android,4.1.0,Active,Yes,4,Yes,Yes,21164,No,None,3
PF00187,2025-06-10,49,Male,Ogun,Instagram,Android,4.2.0,Active,Yes,5,Yes,No,0,No,None,4
PF00188,2025-06-16,26,Female,Kano,Referral,iPhone,4.2.1,Active,Yes,4,No,No,0,No,None,5
PF00189,2025-06-12,49,Male,Kano,Google,iPhone,4.2.1,Active,Yes,5,Yes,No,0,Yes,Card,3
PF00190,2025-04-29,31,Female,Kaduna,TikTok,Android,4.2.0,Active,Yes,2,Yes,Yes,41407,No,None,4
PF00191,2025-01-19,46,Female,Enugu,Google,iPhone,4.2.0,Active,Yes,7,No,No,0,No,None,5
PF00192,2025-06-02,23,Male,Oyo,Referral,Android,4.3.0,Active,Yes,5,No,No,0,No,None,4
PF00193,2025-03-26,45,Male,Lagos,Instagram,Android,4.3.0,Active,Yes,5,Yes,Yes,99073,No,None,5
PF00194,2025-05-31,50,Male,Kano,Organic,Android,4.2.0,Active,Yes,1,Yes,No,0,Yes,Login,4
PF00195,2025-04-27,31,Female,Kano,Google,Android,4.3.0,Active,Yes,1,Yes,Yes,31168,Yes,Login,5
PF00196,2025-01-28,28,Male,Rivers,Referral,Android,4.2.0,Verify Email,No,7,No,No,0,No,None,2
PF00197,2025-06-13,45,Female,Lagos,TikTok,iPhone,4.2.1,Active,Yes,1,Yes,Yes,17400,No,None,5
PF00198,2025-02-17,41,Female,Oyo,Google,Android,4.2.0,Active,Yes,6,Yes,Yes,103903,No,None,4
PF00199,2025-04-01,47,Male,Kaduna,Organic,Android,4.3.0,Active,Yes,1,Yes,Yes,98859,No,None,5
PF00200,2025-04-10,44,Male,Enugu,Google,Android,4.3.0,Active,Yes,6,No,No,0,Yes,BVN,4
PF00201,2025-03-15,26,Male,Kano,TikTok,Android,4.2.0,Add BVN,No,3,No,No,0,Yes,Transfer,4
PF00202,2025-04-15,49,Female,Ogun,Google,Android,4.1.0,Verify Email,No,5,No,No,0,Yes,BVN,3
PF00203,2025-02-13,47,Female,Abuja,Referral,Android,4.3.0,Complete KYC,No,9,No,No,0,No,None,1
PF00204,2025-04-23,52,Male,Enugu,Instagram,iPhone,4.2.0,Verify Phone,No,8,No,No,0,No,None,1
PF00205,2025-04-23,25,Male,Oyo,TikTok,Android,4.2.0,Link Bank,No,7,No,No,0,Yes,BVN,2
PF00206,2025-02-22,21,Female,Kaduna,Referral,Android,4.3.0,Active,Yes,5,Yes,No,0,No,None,5
PF00207,2025-01-25,26,Female,Lagos,Organic,iPhone,4.2.1,Verify Email,No,3,No,No,0,No,None,2
PF00208,2025-06-23,43,Female,Rivers,Referral,Android,4.2.0,Active,Yes,1,Yes,No,0,Yes,Card,5
PF00209,2025-03-13,41,Female,Ogun,Facebook,Android,4.3.0,Active,Yes,4,Yes,Yes,17601,No,None,4
PF00210,2025-02-25,45,Male,Ogun,Facebook,iPhone,4.2.1,Link Bank,No,8,No,No,0,No,None,1
PF00211,2025-01-12,24,Female,Lagos,Instagram,iPhone,4.2.1,Active,Yes,4,Yes,Yes,35580,No,None,4
PF00212,2025-02-10,35,Male,Kano,Facebook,Android,4.3.0,Active,Yes,4,Yes,Yes,62379,No,None,3
PF00213,2025-06-30,24,Male,Oyo,Google,Android,4.1.0,Active,Yes,4,Yes,Yes,32612,No,None,4
PF00214,2025-06-27,26,Female,Abuja,Facebook,Android,4.1.0,Active,Yes,3,Yes,Yes,35903,No,None,5
PF00215,2025-02-06,22,Male,Rivers,Google,iPhone,4.1.0,Link Bank,No,8,No,No,0,No,None,1
PF00216,2025-01-26,26,Male,Enugu,Google,Android,4.1.0,Active,Yes,6,Yes,Yes,75690,No,None,5
PF00217,2025-01-07,37,Male,Oyo,TikTok,Android,4.1.0,Verify Email,No,8,No,No,0,No,None,2
PF00218,2025-05-08,22,Male,Kano,Organic,Android,4.3.0,Active,Yes,5,Yes,Yes,20134,Yes,KYC,3
PF00219,2025-03-09,31,Male,Lagos,Organic,Android,4.2.0,Active,Yes,5,Yes,Yes,106454,Yes,Card,5
PF00220,2025-06-07,27,Female,Abuja,Facebook,Android,4.1.0,Verify Email,No,9,No,No,0,No,None,1
PF00221,2025-03-21,45,Male,Lagos,Facebook,iPhone,4.2.1,Verify Phone,No,5,No,No,0,No,None,2
PF00222,2025-01-31,18,Male,Lagos,Instagram,iPhone,4.2.1,First Deposit,No,5,No,No,0,Yes,BVN,3
PF00223,2025-01-31,19,Female,Enugu,Facebook,Android,4.3.0,First Deposit,No,2,No,No,0,No,None,3
PF00224,2025-01-15,49,Male,Kano,Instagram,iPhone,4.3.0,Verify Email,No,9,No,No,0,Yes,KYC,2
